Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Production/Profile/General/Customer Service,,,,2023-05-16 16:03:34,2023-05-16 16:04:12,37.813s,PASSED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-05-16 16:03:35,2023-05-16 16:03:52,17.771s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:03:52,2023-05-16 16:03:57,5.017s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 0)",,,,2023-05-16 16:03:57,2023-05-16 16:04:00,2.532s,PASSED
"tap(findTestObject(""Productions/General/Customer-Service/Menu-Customer Service""), 3)",,,,2023-05-16 16:04:00,2023-05-16 16:04:02,1.942s,PASSED
"verifyElementVisible(findTestObject(""Productions/General/Customer-Service/CUSTOMER SERVICE""), 3)",,,,2023-05-16 16:04:02,2023-05-16 16:04:04,1.865s,PASSED
"verifyElementVisible(findTestObject(""Productions/General/Customer-Service/Call""), 3)",,,,2023-05-16 16:04:04,2023-05-16 16:04:04,0.535s,PASSED
"verifyElementVisible(findTestObject(""Productions/General/Customer-Service/Whatsapp""), 3)",,,,2023-05-16 16:04:04,2023-05-16 16:04:05,0.486s,PASSED
"verifyElementVisible(findTestObject(""Productions/General/Customer-Service/Email""), 3)",,,,2023-05-16 16:04:05,2023-05-16 16:04:05,0.468s,PASSED
"verifyElementVisible(findTestObject(""Productions/General/Customer-Service/Image CS KFC""), 3)",,,,2023-05-16 16:04:05,2023-05-16 16:04:06,0.484s,PASSED
"tap(findTestObject(""Productions/General/Customer-Service/Close Button""), 3)",,,,2023-05-16 16:04:06,2023-05-16 16:04:07,0.997s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:04:07,2023-05-16 16:04:12,5.008s,PASSED
closeApplication(),,,,2023-05-16 16:04:12,2023-05-16 16:04:12,0.343s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-05-16 16:04:12,2023-05-16 16:04:12,0.005s,PASSED
,,,,,,,
Test Cases/Production/Profile/General/Privacy Policy,,,,2023-05-16 16:04:12,2023-05-16 16:04:50,37.832s,PASSED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-05-16 16:04:12,2023-05-16 16:04:30,17.780s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:04:30,2023-05-16 16:04:35,5.011s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 0)",,,,2023-05-16 16:04:35,2023-05-16 16:04:38,3.114s,PASSED
"tap(findTestObject(""Productions/General/Privacy-Policy/Menu - Privacy Policy""), 3)",,,,2023-05-16 16:04:38,2023-05-16 16:04:40,1.793s,PASSED
"verifyElementVisible(findTestObject(""Productions/General/Privacy-Policy/Title - PRIVACY POLICY""), 3)",,,,2023-05-16 16:04:40,2023-05-16 16:04:43,2.560s,PASSED
"verifyElementVisible(findTestObject(""Productions/General/Privacy-Policy/Privacy Policy""), 3)",,,,2023-05-16 16:04:43,2023-05-16 16:04:44,1.404s,PASSED
"tap(findTestObject(""Productions/General/Privacy-Policy/Close""), 3)",,,,2023-05-16 16:04:44,2023-05-16 16:04:44,0.521s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:04:44,2023-05-16 16:04:49,5.013s,PASSED
closeApplication(),,,,2023-05-16 16:04:49,2023-05-16 16:04:50,0.334s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-05-16 16:04:50,2023-05-16 16:04:50,0.008s,PASSED
,,,,,,,
Test Cases/Production/Profile/General/Term and Condition,,,,2023-05-16 16:04:50,2023-05-16 16:05:28,38.348s,PASSED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-05-16 16:04:50,2023-05-16 16:05:08,17.850s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:05:08,2023-05-16 16:05:13,5.019s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 0)",,,,2023-05-16 16:05:13,2023-05-16 16:05:16,2.655s,PASSED
"tap(findTestObject(""Productions/General/Term and Condition/Menu - TnC""), 3)",,,,2023-05-16 16:05:16,2023-05-16 16:05:17,1.779s,PASSED
"verifyElementVisible(findTestObject(""Productions/General/Term and Condition/Title - TERMS AND CONDITIONS""), 3)",,,,2023-05-16 16:05:17,2023-05-16 16:05:19,1.996s,PASSED
"verifyElementVisible(findTestObject(""Productions/General/Term and Condition/Term Of Use""), 3)",,,,2023-05-16 16:05:19,2023-05-16 16:05:21,1.427s,PASSED
