Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"testObjectOne.addProperty(""xpath"", EQUALS, ""//hierarchy/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.view.ViewGroup[1]/android.view.ViewGroup[1]/androidx.recyclerview.widget.RecyclerView[1]/android.view.ViewGroup[3]/android.widget.ImageView[1]"")",,,,2023-01-25 18:10:34,2023-01-25 18:10:34,0.005s,PASSED
"tap(testObjectOne, 5)",,,,2023-01-25 18:10:34,2023-01-25 18:10:35,1.554s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:10:35,2023-01-25 18:10:40,5.013s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-25 18:10:40,2023-01-25 18:10:41,1.108s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:10:41,2023-01-25 18:10:46,5.013s,PASSED
testObjectTwo = new com.kms.katalon.core.testobject.TestObject(),,,,2023-01-25 18:10:46,2023-01-25 18:10:46,0.001s,PASSED
"testObjectTwo.addProperty(""xpath"", EQUALS, ""//hierarchy/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.view.ViewGroup[1]/android.view.ViewGroup[1]/androidx.recyclerview.widget.RecyclerView[1]/android.view.ViewGroup[4]"")",,,,2023-01-25 18:10:46,2023-01-25 18:10:46,0.001s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:10:46,2023-01-25 18:10:51,5.011s,PASSED
"tap(testObjectTwo, 5)",,,,2023-01-25 18:10:51,2023-01-25 18:10:52,0.221s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2023-01-25 18:10:52,2023-01-25 18:11:02,10.019s,PASSED
"tap(findTestObject(""Order Dine In/Payment/android.widget.Button - Simpan""), 5)",,,,2023-01-25 18:11:02,2023-01-25 18:11:02,0.645s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2023-01-25 18:11:02,2023-01-25 18:11:12,10.016s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-25 18:11:12,2023-01-25 18:11:13,1.092s,PASSED
"tap(findTestObject(""Order Dine In/Payment/android.widget.Button - Pesan Sekarang""), 10)",,,,2023-01-25 18:11:13,2023-01-25 18:11:14,1.094s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2023-01-25 18:11:14,2023-01-25 18:11:24,10.014s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Payment/imgPayment/android.view.View""), 5)",,,,2023-01-25 18:11:24,2023-01-25 18:11:27,3.003s,PASSED
"tap(findTestObject(""Order Dine In/Payment/android.view.View""), 10)",,,,2023-01-25 18:11:27,2023-01-25 18:11:28,0.793s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Payment/android.widget.TextView - Konfirmasi pembayaran Anda""), 10)",,,,2023-01-25 18:11:28,2023-01-25 18:11:29,0.261s,PASSED
"tap(findTestObject(""Order Dine In/Payment/android.widget.ImageButton""), 10)",,,,2023-01-25 18:11:29,2023-01-25 18:11:33,4.932s,PASSED
closeApplication(),,,,2023-01-25 18:11:33,2023-01-25 18:11:35,1.372s,PASSED
,,,,,,,
Test Cases/Create Order/Dine In/Dine In - Gopay,,,,2023-01-25 18:11:35,2023-01-25 18:14:19,2m - 43.969s,PASSED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-01-25 18:11:35,2023-01-25 18:11:53,17.558s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:11:53,2023-01-25 18:11:55,2.129s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:11:55,2023-01-25 18:11:55,0.418s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-25 18:11:55,2023-01-25 18:11:56,1.138s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - DINE-IN""), 5)",,,,2023-01-25 18:11:56,2023-01-25 18:11:58,1.259s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Cari Gerai KFC""), 5)",,,,2023-01-25 18:11:58,2023-01-25 18:12:00,2.796s,PASSED
"setText(findTestObject(""Object Repository/Order Dine In/android.widget.EditText - Cari Gerai KFC""), ""MT Haryono"", 5)",,,,2023-01-25 18:12:00,2023-01-25 18:12:04,3.913s,PASSED
hideKeyboard(),,,,2023-01-25 18:12:04,2023-01-25 18:12:07,2.678s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - MT HARYONO JAKARTA""), 5)",,,,2023-01-25 18:12:07,2023-01-25 18:12:13,5.476s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Gerai""), 5)",,,,2023-01-25 18:12:13,2023-01-25 18:12:13,0.323s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:12:13,2023-01-25 18:12:18,5.005s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.FrameLayout""), 5)",,,,2023-01-25 18:12:18,2023-01-25 18:12:19,0.823s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:12:19,2023-01-25 18:12:24,5.017s,PASSED
pressBack(),,,,2023-01-25 18:12:24,2023-01-25 18:12:25,0.932s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-01-25 18:12:25,2023-01-25 18:12:25,0.635s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-01-25 18:12:25,2023-01-25 18:12:26,0.279s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:12:26,2023-01-25 18:12:31,5.010s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-01-25 18:12:31,2023-01-25 18:12:31,0.300s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-01-25 18:12:31,2023-01-25 18:12:32,0.696s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:12:32,2023-01-25 18:12:37,5.014s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.LinearLayout""), 5)",,,,2023-01-25 18:12:37,2023-01-25 18:12:37,0.387s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.LinearLayout""), 5)",,,,2023-01-25 18:12:37,2023-01-25 18:12:37,0.294s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:12:37,2023-01-25 18:12:42,5.014s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.TextView - Pilih Menu Gratis""), 5)",,,,2023-01-25 18:12:42,2023-01-25 18:12:43,0.699s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.TextView - Pilih Menu Gratis""), 5)",,,,2023-01-25 18:12:43,2023-01-25 18:12:43,0.214s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:12:43,2023-01-25 18:12:48,5.007s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Sekarang""), 10)",,,,2023-01-25 18:12:48,2023-01-25 18:12:49,0.965s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Sekarang""), 10)",,,,2023-01-25 18:12:49,2023-01-25 18:12:49,0.321s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:12:49,2023-01-25 18:12:54,5.014s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - TAMBAHKAN""), 10)",,,,2023-01-25 18:12:54,2023-01-25 18:12:55,0.717s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - TAMBAHKAN""), 5)",,,,2023-01-25 18:12:55,2023-01-25 18:12:55,0.245s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:12:55,2023-01-25 18:13:00,5.016s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjutkan""), 5)",,,,2023-01-25 18:13:00,2023-01-25 18:13:03,2.230s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:13:03,2023-01-25 18:13:08,5.004s,PASSED
"scrollToText(""TOTAL"", STOP_ON_FAILURE)",,,,2023-01-25 18:13:08,2023-01-25 18:13:15,6.989s,PASSED
"tap(findTestObject(""Order Dine In/Payment/android.widget.TextView - Lihat Semua""), 5)",,,,2023-01-25 18:13:15,2023-01-25 18:13:15,0.771s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:13:15,2023-01-25 18:13:20,5.005s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-25 18:13:20,2023-01-25 18:13:22,1.120s,PASSED
testObjectOne = new com.kms.katalon.core.testobject.TestObject(),,,,2023-01-25 18:13:22,2023-01-25 18:13:22,0.001s,PASSED
"testObjectOne.addProperty(""xpath"", EQUALS, ""//hierarchy/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.view.ViewGroup[1]/android.view.ViewGroup[1]/androidx.recyclerview.widget.RecyclerView[1]/android.view.ViewGroup[3]/android.widget.ImageView[1]"")",,,,2023-01-25 18:13:22,2023-01-25 18:13:22,0.001s,PASSED
"tap(testObjectOne, 5)",,,,2023-01-25 18:13:22,2023-01-25 18:13:23,1.140s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:13:23,2023-01-25 18:13:28,5.003s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-25 18:13:28,2023-01-25 18:13:29,1.093s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:13:29,2023-01-25 18:13:34,5.008s,PASSED
testObjectTwo = new com.kms.katalon.core.testobject.TestObject(),,,,2023-01-25 18:13:34,2023-01-25 18:13:34,0.000s,PASSED
"testObjectTwo.addProperty(""xpath"", EQUALS, ""//hierarchy/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.view.ViewGroup[1]/android.view.ViewGroup[1]/androidx.recyclerview.widget.RecyclerView[1]/android.view.ViewGroup[3]"")",,,,2023-01-25 18:13:34,2023-01-25 18:13:34,0.001s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:13:34,2023-01-25 18:13:39,5.004s,PASSED
"tap(testObjectTwo, 5)",,,,2023-01-25 18:13:39,2023-01-25 18:13:39,0.207s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2023-01-25 18:13:39,2023-01-25 18:13:49,10.003s,PASSED
"tap(findTestObject(""Order Dine In/Payment/android.widget.Button - Simpan""), 5)",,,,2023-01-25 18:13:49,2023-01-25 18:13:50,1.200s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2023-01-25 18:13:50,2023-01-25 18:14:00,10.023s,PASSED
"tap(findTestObject(""Order Dine In/Payment/android.widget.Button - Pesan Sekarang""), 10)",,,,2023-01-25 18:14:00,2023-01-25 18:14:01,0.280s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2023-01-25 18:14:01,2023-01-25 18:14:11,10.017s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Gopay/android.widget.TextView - GoPay - Web""), 10)",,,,2023-01-25 18:14:11,2023-01-25 18:14:11,0.925s,PASSED
"tap(findTestObject(""Order Dine In/Gopay/android.widget.EditText""), 10)",,,,2023-01-25 18:14:11,2023-01-25 18:14:12,0.278s,PASSED
"setText(findTestObject(""Order Dine In/Gopay/android.widget.EditText""), ""654321"", 5)",,,,2023-01-25 18:14:12,2023-01-25 18:14:15,2.789s,PASSED
hideKeyboard(),,,,2023-01-25 18:14:15,2023-01-25 18:14:17,2.841s,PASSED
"tap(findTestObject(""Order Dine In/Gopay/android.widget.Button - Submit""), 10)",,,,2023-01-25 18:14:17,2023-01-25 18:14:18,0.245s,PASSED
closeApplication(),,,,2023-01-25 18:14:18,2023-01-25 18:14:19,1.190s,PASSED
,,,,,,,
Test Cases/Create Order/Drive Thru/Drive Thru - Dana,,,,2023-01-25 18:14:19,2023-01-25 18:16:09,1m - 50.105s,ERROR
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-01-25 18:14:19,2023-01-25 18:14:36,16.378s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:14:36,2023-01-25 18:14:37,1.526s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:14:37,2023-01-25 18:14:38,0.458s,PASSED
"swipe(281, 600, 434, 90)",,,,2023-01-25 18:14:38,2023-01-25 18:14:39,1.118s,PASSED
