Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"swipe(281, 600, 434, 90)",,,,2023-01-25 18:16:26,2023-01-25 18:16:27,1.126s,PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in to device_height variable,,2023-01-25 18:16:27,2023-01-25 18:16:27,0.123s,PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in to device_Width variable,,2023-01-25 18:16:27,2023-01-25 18:16:27,0.094s,PASSED
startY = device_Height / 2,,Storing the value in startY variable by dividing device height by 2 Because Y coordinates are constant,,2023-01-25 18:16:27,2023-01-25 18:16:27,0.000s,PASSED
endY = startY,,Here startY and endY values are equal for Horizontal Swiping for that assigning startX value to endX,,2023-01-25 18:16:27,2023-01-25 18:16:27,0.000s,PASSED
startX = device_Width * 0.30,,Storing the value in startX variable,,2023-01-25 18:16:27,2023-01-25 18:16:27,0.000s,PASSED
endX = device_Width * 0.70,,Storing the value in endX variable,,2023-01-25 18:16:27,2023-01-25 18:16:27,0.000s,PASSED
"swipe(endX, startY, startX, endY)",,Here Y constant for Swipe Horizontal Right to Left,,2023-01-25 18:16:27,2023-01-25 18:16:28,1.120s,PASSED
"waitForElementPresent(findTestObject(""Order Type/android.widget.TextView - DRIVE-THRU""), 10)",,,,2023-01-25 18:16:28,2023-01-25 18:16:29,0.805s,PASSED
"tap(findTestObject(""Order Type/android.widget.TextView - DRIVE-THRU""), 5)",,,,2023-01-25 18:16:29,2023-01-25 18:16:29,0.437s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.EditText - Cari Gerai KFC""), 5)",,,,2023-01-25 18:16:29,2023-01-25 18:16:35,5.454s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Cari Gerai KFC""), 5)",,,,2023-01-25 18:16:35,2023-01-25 18:16:36,1.416s,FAILED
,,,,,,,
Test Cases/Create Order/Take Away/Take Away - Dana,,,,2023-01-25 18:16:36,2023-01-25 18:17:03,26.533s,FAILED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-01-25 18:16:37,2023-01-25 18:16:51,14.026s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:16:51,2023-01-25 18:16:52,1.149s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:16:52,2023-01-25 18:16:54,1.855s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-25 18:16:54,2023-01-25 18:16:55,1.120s,PASSED
"tap(findTestObject(""Order Type/android.widget.TextView - TAKE AWAY""), 5)",,,,2023-01-25 18:16:55,2023-01-25 18:16:56,1.624s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Cari Gerai KFC""), 5)",,,,2023-01-25 18:16:56,2023-01-25 18:16:59,2.975s,PASSED
"setText(findTestObject(""Object Repository/Order Dine In/android.widget.EditText - Cari Gerai KFC""), ""MT Haryono"", 5)",,,,2023-01-25 18:16:59,2023-01-25 18:17:03,3.377s,FAILED
,,,,,,,
Test Cases/Create Order/Take Away/Take Away - Gopay,,,,2023-01-25 18:17:03,2023-01-25 18:19:47,2m - 43.892s,PASSED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-01-25 18:17:03,2023-01-25 18:17:17,14.335s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:17:17,2023-01-25 18:17:19,1.166s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:17:19,2023-01-25 18:17:19,0.879s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-25 18:17:19,2023-01-25 18:17:21,1.118s,PASSED
"tap(findTestObject(""Order Type/android.widget.TextView - TAKE AWAY""), 5)",,,,2023-01-25 18:17:21,2023-01-25 18:17:21,0.764s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Cari Gerai KFC""), 5)",,,,2023-01-25 18:17:21,2023-01-25 18:17:24,2.442s,PASSED
"setText(findTestObject(""Object Repository/Order Dine In/android.widget.EditText - Cari Gerai KFC""), ""MT Haryono"", 5)",,,,2023-01-25 18:17:24,2023-01-25 18:17:28,4.636s,PASSED
hideKeyboard(),,,,2023-01-25 18:17:28,2023-01-25 18:17:31,2.935s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - MT HARYONO JAKARTA""), 5)",,,,2023-01-25 18:17:31,2023-01-25 18:17:36,5.139s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Gerai""), 5)",,,,2023-01-25 18:17:36,2023-01-25 18:17:37,0.310s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:17:37,2023-01-25 18:17:42,5.017s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.FrameLayout""), 5)",,,,2023-01-25 18:17:42,2023-01-25 18:17:42,0.292s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:17:42,2023-01-25 18:17:47,5.008s,PASSED
pressBack(),,,,2023-01-25 18:17:47,2023-01-25 18:17:48,1.149s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-01-25 18:17:48,2023-01-25 18:17:49,1.108s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-01-25 18:17:49,2023-01-25 18:17:50,0.295s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:17:50,2023-01-25 18:17:55,5.011s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-01-25 18:17:55,2023-01-25 18:17:55,0.230s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-01-25 18:17:55,2023-01-25 18:17:55,0.293s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:17:55,2023-01-25 18:18:00,5.007s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.LinearLayout""), 5)",,,,2023-01-25 18:18:00,2023-01-25 18:18:00,0.265s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.LinearLayout""), 5)",,,,2023-01-25 18:18:00,2023-01-25 18:18:01,0.794s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:18:01,2023-01-25 18:18:06,5.016s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.TextView - Pilih Menu Gratis""), 5)",,,,2023-01-25 18:18:06,2023-01-25 18:18:06,0.188s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.TextView - Pilih Menu Gratis""), 5)",,,,2023-01-25 18:18:06,2023-01-25 18:18:07,0.226s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:18:07,2023-01-25 18:18:12,5.003s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Sekarang""), 10)",,,,2023-01-25 18:18:12,2023-01-25 18:18:12,0.732s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Sekarang""), 10)",,,,2023-01-25 18:18:12,2023-01-25 18:18:13,0.281s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:18:13,2023-01-25 18:18:18,5.012s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - TAMBAHKAN""), 10)",,,,2023-01-25 18:18:18,2023-01-25 18:18:19,0.783s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - TAMBAHKAN""), 5)",,,,2023-01-25 18:18:19,2023-01-25 18:18:19,0.789s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:18:19,2023-01-25 18:18:24,5.017s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjutkan""), 5)",,,,2023-01-25 18:18:24,2023-01-25 18:18:25,0.321s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:18:25,2023-01-25 18:18:30,5.004s,PASSED
"scrollToText(""TOTAL"", STOP_ON_FAILURE)",,,,2023-01-25 18:18:30,2023-01-25 18:18:35,5.239s,PASSED
"tap(findTestObject(""Order Dine In/Payment/android.widget.TextView - Lihat Semua""), 5)",,,,2023-01-25 18:18:35,2023-01-25 18:18:35,0.326s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:18:35,2023-01-25 18:18:40,5.014s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-25 18:18:40,2023-01-25 18:18:41,1.092s,PASSED
testObjectOne = new com.kms.katalon.core.testobject.TestObject(),,,,2023-01-25 18:18:41,2023-01-25 18:18:41,0.000s,PASSED
"testObjectOne.addProperty(""xpath"", EQUALS, ""//hierarchy/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.view.ViewGroup[1]/android.view.ViewGroup[1]/androidx.recyclerview.widget.RecyclerView[1]/android.view.ViewGroup[3]/android.widget.ImageView[1]"")",,,,2023-01-25 18:18:41,2023-01-25 18:18:41,0.001s,PASSED
"tap(testObjectOne, 5)",,,,2023-01-25 18:18:41,2023-01-25 18:18:42,0.229s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:18:42,2023-01-25 18:18:47,5.015s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-25 18:18:47,2023-01-25 18:18:48,1.092s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:18:48,2023-01-25 18:18:53,5.010s,PASSED
testObjectTwo = new com.kms.katalon.core.testobject.TestObject(),,,,2023-01-25 18:18:53,2023-01-25 18:18:53,0.001s,PASSED
"testObjectTwo.addProperty(""xpath"", EQUALS, ""//hierarchy/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.view.ViewGroup[1]/android.view.ViewGroup[1]/androidx.recyclerview.widget.RecyclerView[1]/android.view.ViewGroup[3]"")",,,,2023-01-25 18:18:53,2023-01-25 18:18:53,0.001s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:18:53,2023-01-25 18:18:58,5.012s,PASSED
"tap(testObjectTwo, 5)",,,,2023-01-25 18:18:58,2023-01-25 18:18:58,0.824s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2023-01-25 18:18:58,2023-01-25 18:19:09,10.008s,PASSED
"tap(findTestObject(""Order Dine In/Payment/android.widget.Button - Simpan""), 5)",,,,2023-01-25 18:19:09,2023-01-25 18:19:09,0.280s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2023-01-25 18:19:09,2023-01-25 18:19:19,10.008s,PASSED
"tap(findTestObject(""Order Dine In/Payment/android.widget.Button - Pesan Sekarang""), 10)",,,,2023-01-25 18:19:19,2023-01-25 18:19:20,0.783s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2023-01-25 18:19:20,2023-01-25 18:19:30,10.011s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Gopay/android.widget.TextView - GoPay - Web""), 10)",,,,2023-01-25 18:19:30,2023-01-25 18:19:30,0.236s,PASSED
"tap(findTestObject(""Order Dine In/Gopay/android.widget.EditText""), 10)",,,,2023-01-25 18:19:30,2023-01-25 18:19:30,0.252s,PASSED
"setText(findTestObject(""Order Dine In/Gopay/android.widget.EditText""), ""654321"", 5)",,,,2023-01-25 18:19:30,2023-01-25 18:19:32,1.911s,PASSED
hideKeyboard(),,,,2023-01-25 18:19:32,2023-01-25 18:19:35,2.984s,PASSED
"tap(findTestObject(""Order Dine In/Gopay/android.widget.Button - Submit""), 10)",,,,2023-01-25 18:19:35,2023-01-25 18:19:36,0.579s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2023-01-25 18:19:36,2023-01-25 18:19:46,10.010s,PASSED
closeApplication(),,,,2023-01-25 18:19:46,2023-01-25 18:19:47,1.095s,PASSED
